2 170 2 155 2 140 2 125 2 110 2 95 2 65 2 65 0 65 0 65 
3 200 3 200 2 200 2 185 2 155 1 140 1 110 2 80 0 65 0 65 
3 200 3 200 3 200 0 200 0 170 1 140 0 125 0 95 0 65 0 65 
3 200 3 200 3 200 0 200 0 170 1 140 0 125 0 95 0 65 0 65 
3 200 3 200 3 200 0 200 0 170 1 140 0 125 0 95 0 65 0 65 
3 200 3 200 3 200 0 200 0 170 1 140 0 125 0 95 0 65 0 65 
3 200 3 200 3 200 0 200 0 170 0 140 0 125 0 95 0 65 0 65 
3 200 3 200 1 200 0 185 1 155 0 140 1 110 1 80 0 65 0 65 
3 200 1 200 1 185 1 170 1 140 1 125 1 95 1 80 0 65 0 65 
1 185 1 185 1 170 1 155 1 125 1 110 1 95 1 65 0 65 0 65 
1 170 1 170 1 155 1 140 1 110 1 95 1 80 1 65 0 65 0 65 
